date_gregorian,date_jalali,year_jalali,month_jalali,day_of_month_jalali,day_of_week,week_of_year_jalali,is_friday,holiday_name,is_holiday_national,is_nowruz_block,is_inter_semester_break,is_named_holiday,is_holiday_any,days_to_next_holiday,days_since_last_holiday,is_bridge_day,is_day_before_holiday,is_day_after_holiday,holiday_block_length,semester,week_of_semester,is_add_drop_period,is_midterm_period,is_final_exam_period,is_exam_period,days_to_exam_start
2023-11-01,1402-08-10,1402,8,10,4,33,False,,False,False,False,False,False,46.0,,False,False,False,,1.0,6.0,False,False,False,False,10.0
2023-11-02,1402-08-11,1402,8,11,5,33,False,,False,False,False,False,False,45.0,,False,True,False,,1.0,6.0,False,False,False,False,9.0
2023-11-03,1402-08-12,1402,8,12,6,33,True,,False,False,False,False,True,44.0,,False,False,False,1.0,1.0,6.0,False,False,False,False,8.0
2023-11-04,1402-08-13,1402,8,13,0,34,False,,False,False,False,False,False,43.0,,False,False,True,,1.0,7.0,False,False,False,False,7.0
2023-11-05,1402-08-14,1402,8,14,1,34,False,,False,False,False,False,False,42.0,,False,False,False,,1.0,7.0,False,False,False,False,6.0
2023-11-06,1402-08-15,1402,8,15,2,34,False,,False,False,False,False,False,41.0,,False,False,False,,1.0,7.0,False,False,False,False,5.0
2023-11-07,1402-08-16,1402,8,16,3,34,False,,False,False,False,False,False,40.0,,False,False,False,,1.0,7.0,False,False,False,False,4.0
2023-11-08,1402-08-17,1402,8,17,4,34,False,,False,False,False,False,False,39.0,,False,False,False,,1.0,7.0,False,False,False,False,3.0
2023-11-09,1402-08-18,1402,8,18,5,34,False,,False,False,False,False,False,38.0,,False,True,False,,1.0,7.0,False,False,False,False,2.0
2023-11-10,1402-08-19,1402,8,19,6,34,True,,False,False,False,False,True,37.0,,False,False,False,1.0,1.0,7.0,False,False,False,False,1.0
2023-11-11,1402-08-20,1402,8,20,0,35,False,,False,False,False,False,False,36.0,,False,False,True,,1.0,8.0,False,True,False,True,0.0
