canonical_name,city,province,lat,lon,is_tehran,distance_km_to_tehran_campus
ابوریحان,پاکدشت,تهران,35.4694,51.6836,False,40
اقتصاد,تهران,تهران,35.705,51.396,True,0
الهیات و معارف اسلامی,تهران,تهران,35.705,51.396,True,0
بیوشیمی و بیوفیزیک,تهران,تهران,35.705,51.396,True,0
تربیت بدنی,تهران,تهران,35.705,51.396,True,0
دامپزشکی تهران,تهران,تهران,35.705,51.396,True,0
دوره حوزه علوم انسانی,تهران,تهران,35.705,51.396,True,0
دوره حوزه علوم انسانی ( مهر),تهران,تهران,35.705,51.396,True,0
روانشناسی و علوم تربیتی,تهران,تهران,35.705,51.396,True,0
زبانهای خارجه,تهران,تهران,35.705,51.396,True,0
ساختمان 6,تهران,تهران,35.705,51.396,True,0
ساختمان 71و72,تهران,تهران,35.705,51.396,True,0
سطح شهر,تهران,تهران,35.705,51.396,True,0
علوم,تهران,تهران,35.705,51.396,True,0
علوم اجتماعی,تهران,تهران,35.705,51.396,True,0
علوم و فناوری های میان رشته ای,تهران,تهران,35.705,51.396,True,0
فارابی,قم,قم,34.6416,50.8746,False,140
فاطمیه,تهران,تهران,35.705,51.396,True,0
فنی 16 آذر,تهران,تهران,35.705,51.396,True,0
فنی امیرآباد,تهران,تهران,35.705,51.396,True,0
فومن,فومن,گیلان,37.2244,49.3125,False,300
فیزیک,تهران,تهران,35.705,51.396,True,0
مدیریت,تهران,تهران,35.705,51.396,True,0
مطالعات جهان,تهران,تهران,35.705,51.396,True,0
مهر,تهران,تهران,35.705,51.396,True,0
هنرهای زیبا,تهران,تهران,35.705,51.396,True,0
چمران,تهران,تهران,35.705,51.396,True,0
ژئوفیزیک,تهران,تهران,35.705,51.396,True,0
کارآفرینی,تهران,تهران,35.705,51.396,True,0
کاسپین,رضوانشهر,گیلان,37.5528,49.1417,False,335
کشاورزی,کرج,البرز,35.8043,50.9722,False,45
کوی,تهران,تهران,35.705,51.396,True,0
