raw_name,canonical_name,method
تست اپ,تست اپ,normalized_identity
خوابگاه سطح شهر- شهید آرمان علی وردی,خوابگاه سطح شهر- شهید آرمان علی وردی,normalized_identity
خوابگاه سطح شهر-امین,خوابگاه سطح شهر-امین,normalized_identity
خوابگاه سطح شهر-حافظ,خوابگاه سطح شهر-حافظ,normalized_identity
خوابگاه سطح شهر-رودکی(قدس 2),خوابگاه سطح شهر-رودکی(قدس 2),normalized_identity
خوابگاه سطح شهر-سارا(خواهران),خوابگاه سطح شهر-سارا(خواهران),normalized_identity
خوابگاه سطح شهر-سیزده آبان(پسران),خوابگاه سطح شهر-سیزده آبان(پسران),normalized_identity
خوابگاه سطح شهر-شانزده آذر یک-دختران,خوابگاه سطح شهر-شانزده آذر یک-دختران,normalized_identity
خوابگاه سطح شهر-شهدای دانشجو(بهنام),خوابگاه سطح شهر-شهدای دانشجو(بهنام),normalized_identity
خوابگاه سطح شهر-ضیاء,خوابگاه سطح شهر-ضیاء,normalized_identity
خوابگاه سطح شهر-طاهری,خوابگاه سطح شهر-طاهری,normalized_identity
خوابگاه سطح شهر-عطار(شفیعی),خوابگاه سطح شهر-عطار(شفیعی),normalized_identity
خوابگاه سطح شهر-عطارشرقی(فردانش2)- دختران,خوابگاه سطح شهر-عطارشرقی(فردانش2)- دختران,normalized_identity
خوابگاه سطح شهر-عطارغربی(فردانش1)- دختران,خوابگاه سطح شهر-عطارغربی(فردانش1)- دختران,normalized_identity
خوابگاه سطح شهر-قدس,خوابگاه سطح شهر-قدس,normalized_identity
خوابگاه سطح شهر-قدس 3,خوابگاه سطح شهر-قدس 3,normalized_identity
خوابگاه سطح شهر-نصرت,خوابگاه سطح شهر-نصرت,normalized_identity
خوابگاه سطح شهر-وصال شیرازی,خوابگاه سطح شهر-وصال شیرازی,normalized_identity
خوابگاه سطح شهر-پروفسورحسابی,خوابگاه سطح شهر-پروفسورحسابی,normalized_identity
خوابگاه سطح شهر-کیانوری(خواهران),خوابگاه سطح شهر-کیانوری(خواهران),normalized_identity
خوابگاه فاطمیه,خوابگاه فاطمیه,normalized_identity
خوابگاه فومن (برادران),خوابگاه فومن (برادران),normalized_identity
خوابگاه فومن (خواهران),خوابگاه فومن (خواهران),normalized_identity
خوابگاه چمران,خوابگاه چمران,normalized_identity
خوابگاه کاسپین (برادران),خوابگاه کاسپین (برادران),normalized_identity
خوابگاه کاسپین (خواهران),خوابگاه کاسپین (خواهران),normalized_identity
خوابگاه کشاورزی (برادران)-(شام و صبحانه),خوابگاه کشاورزی (برادران)-(شام و صبحانه),normalized_identity
خوابگاه کشاورزی (خواهران)-(شام و صبحانه),خوابگاه کشاورزی (خواهران)-(شام و صبحانه),normalized_identity
خوابگاه کوی دانشگاه,خوابگاه کوی دانشگاه,normalized_identity
دانشکده ادبیات,دانشکده ادبیات,normalized_identity
دانشکده اقتصاد,دانشکده اقتصاد,normalized_identity
دانشکده الهیات و معارف اسلامی,دانشکده الهیات و معارف اسلامی,normalized_identity
دانشکده بیوشیمی و بیوفیزیک,دانشکده بیوشیمی و بیوفیزیک,normalized_identity
دانشکده تجارت و مالیه,دانشکده تجارت و مالیه,normalized_identity
دانشکده جغرافیا,دانشکده جغرافیا,normalized_identity
دانشکده حقوق,دانشکده حقوق,normalized_identity
دانشکده حکمرانی,دانشکده حکمرانی,normalized_identity
دانشکده دامپزشکی,دانشکده دامپزشکی,normalized_identity
دانشکده روانشناسی و علوم تربیتی,دانشکده روانشناسی و علوم تربیتی,normalized_identity
دانشکده زبانهای خارجه,دانشکده زبانهای خارجه,normalized_identity
دانشکده سلف مهر,دانشکده سلف مهر,normalized_identity
دانشکده علوم,دانشکده علوم,normalized_identity
دانشکده علوم اجتماعی,دانشکده علوم اجتماعی,normalized_identity
دانشکده علوم ورزشی و تندرستی,دانشکده علوم ورزشی و تندرستی,normalized_identity
دانشکده فارابی,دانشکده فارابی,normalized_identity
دانشکده فنی1-16 آذر(برادران),دانشکده فنی1-16 آذر(برادران),normalized_identity
دانشکده فنی1-16 آذر(خواهران),دانشکده فنی1-16 آذر(خواهران),normalized_identity
دانشکده فنی2-امیرآباد(برادران),دانشکده فنی2-امیرآباد(برادران),normalized_identity
دانشکده فنی2-امیرآباد(خواهران),دانشکده فنی2-امیرآباد(خواهران),normalized_identity
دانشکده فومن-پردیس فنی,دانشکده فومن-پردیس فنی,normalized_identity
دانشکده محیط زیست(برادران),دانشکده محیط زیست(برادران),normalized_identity
دانشکده محیط زیست(خواهران),دانشکده محیط زیست(خواهران),normalized_identity
دانشکده مطالعات جهان,دانشکده مطالعات جهان,normalized_identity
دانشکده معارف و اندیشه اسلامی,دانشکده معارف و اندیشه اسلامی,normalized_identity
دانشکده هنرهای زیبا,دانشکده هنرهای زیبا,normalized_identity
دانشکده ژئوفیزیک,دانشکده ژئوفیزیک,normalized_identity
دانشکده کارآفرینی,دانشکده کارآفرینی,normalized_identity
دانشکده کاسپین-پردیس فنی,دانشکده کاسپین-پردیس فنی,normalized_identity
دانشکده گردشگری و میراث فرهنگی,دانشکده گردشگری و میراث فرهنگی,normalized_identity
دانشکدگان علوم و فناوری های میان رشته ای,دانشکدگان علوم و فناوری های میان رشته ای,normalized_identity
دانشکدگان مدیریت,دانشکدگان مدیریت,normalized_identity
سلف حوزه علوم اسلامی دانشجویان,سلف حوزه علوم اسلامی دانشجویان,normalized_identity
سلف مهمان,سلف مهمان,normalized_identity
فارابی خوابگاه(اندیشه قم-برادران),فارابی خوابگاه(اندیشه قم-برادران),normalized_identity
فارابی خوابگاه(حضرت زهرا-خواهران),فارابی خوابگاه(حضرت زهرا-خواهران),normalized_identity
فارابی خوابگاه(حضرت معصومه-خواهران),فارابی خوابگاه(حضرت معصومه-خواهران),normalized_identity
فارابی خوابگاه(دانش قم-برادران),فارابی خوابگاه(دانش قم-برادران),normalized_identity
پردیس کشاورزی و منابع طبیعی(وعده ناهار),پردیس کشاورزی و منابع طبیعی(وعده ناهار),normalized_identity
پردیس کشاورزی و منابع طبیعی-متاهلین (شام و صبحانه),پردیس کشاورزی و منابع طبیعی-متاهلین (شام و صبحانه),normalized_identity
پردیس-ابوریحان,پردیس-ابوریحان,normalized_identity
گروه خاص,گروه خاص,normalized_identity
