event_id,date_start,date_end,date_jalali_start,date_jalali_end,event_type,scope,affected_meal,service_status,confidence,description,expected_effect,observed_in_data,source_url
aqi_episode_01,2023-11-23,2023-11-27,1402-09-02,1402-09-06,آلودگی_هوای_شدید,استان_تهران,هردو,سرو_ناقص,بالا,دوره‌ی پیوسته‌ی 5 روزه با AQI حداکثر روزانه ≥ 155 («ناسالم برای همه‌ی گروه‌ها»)؛ اوج دوره: AQI=177. استخراج‌شده از داده‌ی Open-Meteo پروژه، نه از خبر — پس تاریخ‌ها قطعی و بازتولیدپذیرند,کاهش تردد اختیاری و احتمال افزایش نرخ عدم‌دریافت؛ ⚠️ این ردیف جایگزین «تعطیلی رسمی» نیست — آلودگی شدید همیشه به تعطیلی منجر نشده است,2023-11-23 lunch: ρ=0.067 (z=-0.2) | 2023-11-23 dinner: ρ=0.088 (z=+0.6) | 2023-11-24: بدون سرو | … (3 سطر میانی حذف شد) | 2023-11-26 dinner: ρ=0.046 (z=-0.1) | 2023-11-27 lunch: ρ=0.066 (z=-0.6) | 2023-11-27 dinner: ρ=0.045 (z=-0.3),derived:weather_aqi_tehran.csv
aqi_episode_02,2023-11-30,2023-12-08,1402-09-09,1402-09-17,آلودگی_هوای_شدید,استان_تهران,هردو,سرو_ناقص,بالا,دوره‌ی پیوسته‌ی 9 روزه با AQI حداکثر روزانه ≥ 155 («ناسالم برای همه‌ی گروه‌ها»)؛ اوج دوره: AQI=175. استخراج‌شده از داده‌ی Open-Meteo پروژه، نه از خبر — پس تاریخ‌ها قطعی و بازتولیدپذیرند,کاهش تردد اختیاری و احتمال افزایش نرخ عدم‌دریافت؛ ⚠️ این ردیف جایگزین «تعطیلی رسمی» نیست — آلودگی شدید همیشه به تعطیلی منجر نشده است,2023-11-30 lunch: ρ=0.062 (z=-0.3) | 2023-11-30 dinner: ρ=0.047 (z=-0.3) | 2023-12-01: بدون سرو | … (10 سطر میانی حذف شد) | 2023-12-07 lunch: ρ=0.060 (z=-0.4) | 2023-12-07 dinner: ρ=0.058 (z=-0.0) | 2023-12-08: بدون سرو,derived:weather_aqi_tehran.csv
aqi_episode_03,2023-12-12,2023-12-14,1402-09-21,1402-09-23,آلودگی_هوای_شدید,استان_تهران,هردو,سرو_کامل,بالا,دوره‌ی پیوسته‌ی 3 روزه با AQI حداکثر روزانه ≥ 155 («ناسالم برای همه‌ی گروه‌ها»)؛ اوج دوره: AQI=176. استخراج‌شده از داده‌ی Open-Meteo پروژه، نه از خبر — پس تاریخ‌ها قطعی و بازتولیدپذیرند,کاهش تردد اختیاری و احتمال افزایش نرخ عدم‌دریافت؛ ⚠️ این ردیف جایگزین «تعطیلی رسمی» نیست — آلودگی شدید همیشه به تعطیلی منجر نشده است,2023-12-12 lunch: ρ=0.087 (z=-0.1) | 2023-12-12 dinner: ρ=0.054 (z=-0.4) | 2023-12-13 lunch: ρ=0.098 (z=-0.4) | 2023-12-13 dinner: ρ=0.100 (z=+0.3) | 2023-12-14 lunch: ρ=0.083 (z=+0.4) | 2023-12-14 dinner: ρ=0.098 (z=+0.9),derived:weather_aqi_tehran.csv
derby_102,2023-12-14,2023-12-14,1402-09-23,1402-09-23,رویداد_ورزشی_باشگاهی,استان_تهران,شام,سرو_کامل,متوسط,دربی ۱۰۲ تهران، استقلال - پرسپولیس، ورزشگاه آزادی، پنجشنبه ۲۳ آذر ۱۴۰۲؛ نتیجه: تساوی ۱-۱,اثر انتظاری ضعیف: پنجشنبه است و حجم رزرو شام پنجشنبه‌ها ذاتاً بسیار کم است (۲۵۶ رزرو)، پس حتی اثر واقعی هم در نویز گم می‌شود,2023-12-14 lunch: ρ=0.083 (z=+0.4) | 2023-12-14 dinner: ρ=0.098 (z=+0.9),https://fa.wikipedia.org/wiki/%D9%81%D9%87%D8%B1%D8%B3%D8%AA_%D8%A8%D8%A7%D8%B2%DB%8C%E2%80%8C%D9%87%D8%A7%DB%8C_%D8%B4%D9%87%D8%B1%D8%A2%D9%88%D8%B1%D8%AF_%D8%AA%D9%87%D8%B1%D8%A7%D9%86
aqi_episode_04,2023-12-17,2023-12-23,1402-09-26,1402-10-02,آلودگی_هوای_شدید,استان_تهران,هردو,سرو_ناقص,بالا,دوره‌ی پیوسته‌ی 7 روزه با AQI حداکثر روزانه ≥ 155 («ناسالم برای همه‌ی گروه‌ها»)؛ اوج دوره: AQI=168. استخراج‌شده از داده‌ی Open-Meteo پروژه، نه از خبر — پس تاریخ‌ها قطعی و بازتولیدپذیرند,کاهش تردد اختیاری و احتمال افزایش نرخ عدم‌دریافت؛ ⚠️ این ردیف جایگزین «تعطیلی رسمی» نیست — آلودگی شدید همیشه به تعطیلی منجر نشده است,2023-12-17 lunch: ρ=0.067 (z=-0.1) | 2023-12-18 lunch: ρ=0.101 (z=+0.6) | 2023-12-18 dinner: ρ=0.070 (z=+0.3) | … (6 سطر میانی حذف شد) | 2023-12-22: بدون سرو | 2023-12-23 lunch: ρ=0.081 (z=+0.2) | 2023-12-23 dinner: ρ=0.053 (z=-0.1),derived:weather_aqi_tehran.csv
aqi_episode_05,2023-12-30,2024-01-03,1402-10-09,1402-10-13,آلودگی_هوای_شدید,استان_تهران,هردو,سرو_کامل,بالا,دوره‌ی پیوسته‌ی 5 روزه با AQI حداکثر روزانه ≥ 155 («ناسالم برای همه‌ی گروه‌ها»)؛ اوج دوره: AQI=162. استخراج‌شده از داده‌ی Open-Meteo پروژه، نه از خبر — پس تاریخ‌ها قطعی و بازتولیدپذیرند,کاهش تردد اختیاری و احتمال افزایش نرخ عدم‌دریافت؛ ⚠️ این ردیف جایگزین «تعطیلی رسمی» نیست — آلودگی شدید همیشه به تعطیلی منجر نشده است,2023-12-30 lunch: ρ=0.079 (z=+0.1) | 2023-12-30 dinner: ρ=0.052 (z=-0.1) | 2023-12-31 lunch: ρ=0.068 (z=-0.1) | … (4 سطر میانی حذف شد) | 2024-01-02 dinner: ρ=0.075 (z=+0.1) | 2024-01-03 lunch: ρ=0.134 (z=+0.8) | 2024-01-03 dinner: ρ=0.085 (z=+0.0),derived:weather_aqi_tehran.csv
kerman_bombing,2024-01-03,2024-01-03,1402-10-13,1402-10-13,رویداد_امنیتی,ملی,هردو,سرو_کامل,بالا,انفجار دوگانه‌ی تروریستی در مراسم سالگرد قاسم سلیمانی، گلزار شهدای کرمان، چهارشنبه ۱۳ دی ۱۴۰۲ ساعت ۱۵:۵۰–۱۶:۰۰؛ ۸۹ کشته و ۲۸۴ زخمی؛ داعش خراسان مسئولیت را پذیرفت,زمان انفجار (~۱۶:۰۰) پس از پایان بازه‌ی ناهار و پیش از شام است؛ احتمال کاهش حضور در شام همان روز و روز بعد؛ ⚠️ این تاریخ با ردیف `pollution_closure_13dey` هم‌پوشان است و اثر دو رویداد قابل تفکیک نیست,2024-01-03 lunch: ρ=0.134 (z=+0.8) | 2024-01-03 dinner: ρ=0.085 (z=+0.0),https://en.wikipedia.org/wiki/2024_Kerman_bombings
pollution_closure_13dey,2024-01-03,2024-01-03,1402-10-13,1402-10-13,تعطیلی_اضطراری_آلودگی,استان_تهران,هردو,سرو_کامل,متوسط,تعطیلی حضوری مدارس تهران (چهارشنبه ۱۳ دی ۱۴۰۲) به‌دلیل آلودگی هوا؛ مشخص نیست کلاس‌های دانشگاهی و ادارات هم مشمول تعطیلی بودند یا فقط مدارس K-12 استان تهران,احتمال کاهش حضور دانشجویان و افزایش نرخ عدم‌دریافت وعده‌های همان روز؛ در صورت تعطیلی حضوری کلاس‌های دانشگاه اثر به‌مراتب قوی‌تر خواهد بود؛ ⚠️ هم‌پوشان با `kerman_bombing`,2024-01-03 lunch: ρ=0.134 (z=+0.8) | 2024-01-03 dinner: ρ=0.085 (z=+0.0),https://www.delgarm.com/%D9%88%D8%B6%D8%B9%DB%8C%D8%AA-%D8%AA%D8%B9%D8%B7%DB%8C%D9%84%DB%8C-%D9%85%D8%AF%D8%A7%D8%B1%D8%B3-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%DA%86%D9%87%D8%A7%D8%B1%D8%B4%D9%86%D8%A8%D9%87-13-%D8%AF%DB%8C-1402.a306460
kerman_mourning_day,2024-01-04,2024-01-04,1402-10-14,1402-10-14,سوگواری_ملی,ملی,هردو,سرو_کامل,بالا,روز عزای عمومی سراسری اعلام‌شده توسط رئیس‌جمهور برای قربانیان انفجار کرمان؛ پنجشنبه ۱۴ دی ۱۴۰۲,عزای عمومی لزوماً تعطیلی رسمی نیست و سلف‌ها سرو داشتند؛ احتمال کاهش خفیف حضور و لغو مراسم/کلاس‌های فوق‌برنامه,2024-01-04 lunch: ρ=0.068 (z=-0.1) | 2024-01-04 dinner: ρ=0.107 (z=+1.1),https://www.aljazeera.com/news/2024/1/4/confusion-speculation-in-iran-after-twin-blasts-kill-more-than-80-people
friendly_burkina_faso,2024-01-05,2024-01-05,1402-10-15,1402-10-15,رویداد_ورزشی_ملی,ملی,شام,بدون_سرو,بالا,بازی دوستانه‌ی تدارکاتی ایران - بورکینافاسو، جزیره‌ی کیش، جمعه ۱۵ دی ۱۴۰۲؛ نتیجه: برد ۲-۱ ایران,بدون اثر قابل‌سنجش — جمعه‌ی بدون سرو (خارج از ایام امتحانات)؛ فقط برای کامل‌بودن آرشیو بازی‌های تیم ملی ثبت شده,2024-01-05: بدون سرو,https://en.wikipedia.org/wiki/Iran_national_football_team_results_(2020%E2%80%93present)
