raw_food_name,main_food,canonical_food,matched,match_score,has_extras,extras_list
2 خوراک چیکن استروگانوف+پوره سیب زمینی+نوشیدنی,2 خوراک چیکن استروگانوف,2 خوراک چیکن استروگانوف,True,100.0,True,پوره سیب زمینی|نوشیدنی
3 بسته ارزاق (ایام تعطیل),3 بسته ارزاق,3 بسته ارزاق,False,45.0,False,
آش,آش,آش,False,57.0,False,
استانبولی با گوشت+بامیه,استانبولی با گوشت,استانبولی پلو با گوشت,True,95.0,True,بامیه
استانبولی با گوشت+سالاد,استانبولی با گوشت,استانبولی پلو با گوشت,True,95.0,True,سالاد
استانبولی با گوشت+ماست,استانبولی با گوشت,استانبولی پلو با گوشت,True,95.0,True,ماست
استانبولی با گوشت+ماست موسیر,استانبولی با گوشت,استانبولی پلو با گوشت,True,95.0,True,ماست موسیر
استانبولی با گوشت+ماست و خیار,استانبولی با گوشت,استانبولی پلو با گوشت,True,95.0,True,ماست و خیار
استانبولی با گوشت+ماست+میوه,استانبولی با گوشت,استانبولی پلو با گوشت,True,95.0,True,ماست|میوه
استانبولی پلو با سویا(رستوران آزاد-کشاورزی),استانبولی پلو با سویا,استانبولی پلو با سویا,False,85.71,False,
استانبولی پلو با مرغ+سالاد شیرازی,استانبولی پلو با مرغ,استانبولی پلو با مرغ,True,100.0,True,سالاد شیرازی
استانبولی پلو با مرغ+سالاد شیرازی+میوه,استانبولی پلو با مرغ,استانبولی پلو با مرغ,True,100.0,True,سالاد شیرازی|میوه
استانبولی پلو با مرغ+سالاد کلم,استانبولی پلو با مرغ,استانبولی پلو با مرغ,True,100.0,True,سالاد کلم
استانبولی پلو با مرغ+ماست موسیر,استانبولی پلو با مرغ,استانبولی پلو با مرغ,True,100.0,True,ماست موسیر
استانبولی پلو با مرغ+ماست و خیار,استانبولی پلو با مرغ,استانبولی پلو با مرغ,True,100.0,True,ماست و خیار
استانبولی پلو با مرغ+ماست+میوه,استانبولی پلو با مرغ,استانبولی پلو با مرغ,True,100.0,True,ماست|میوه
استانبولی پلو با مرغ+میوه+ماست و خیار,استانبولی پلو با مرغ,استانبولی پلو با مرغ,True,100.0,True,میوه|ماست و خیار
استانبولی پلو با مرغ+نوشیدنی,استانبولی پلو با مرغ,استانبولی پلو با مرغ,True,100.0,True,نوشیدنی
استانبولی پلو با گوشت + سالاد + میوه,استانبولی پلو با گوشت,استانبولی پلو با گوشت,True,100.0,True,سالاد|میوه
استانبولی پلو با گوشت + ماست + میوه,استانبولی پلو با گوشت,استانبولی پلو با گوشت,True,100.0,True,ماست|میوه
استانبولی پلو با گوشت+ماست موسیر+میوه,استانبولی پلو با گوشت,استانبولی پلو با گوشت,True,100.0,True,ماست موسیر|میوه
افطار روزانه (7 روز),افطار روزانه,افطار روزانه,False,47.5,False,
باقلاپلو با مرغ+سالاد,باقلاپلو با مرغ,باقلاپلو با مرغ,True,100.0,True,سالاد
باقلاپلو با مرغ+سالاد کلم,باقلاپلو با مرغ,باقلاپلو با مرغ,True,100.0,True,سالاد کلم
باقلاپلو با مرغ+سوپ,باقلاپلو با مرغ,باقلاپلو با مرغ,True,100.0,True,سوپ
باقلاپلو با مرغ+سوپ جو,باقلاپلو با مرغ,باقلاپلو با مرغ,True,100.0,True,سوپ جو
باقلاپلو با مرغ+ماست موسیر,باقلاپلو با مرغ,باقلاپلو با مرغ,True,100.0,True,ماست موسیر
باقلاپلو با مرغ+ماست موسیر+میوه,باقلاپلو با مرغ,باقلاپلو با مرغ,True,100.0,True,ماست موسیر|میوه
باقلاپلو با مرغ+میوه+ژله تک نفره,باقلاپلو با مرغ,باقلاپلو با مرغ,True,100.0,True,میوه|ژله تک نفره
باقلاپلو با مرغ+ژله تک نفره,باقلاپلو با مرغ,باقلاپلو با مرغ,True,100.0,True,ژله تک نفره
باقلاپلو با گوشت+آش جو,باقلاپلو با گوشت,باقلاپلو با گوشت,True,100.0,True,آش جو
باقلاپلو با گوشت+دوغ,باقلاپلو با گوشت,باقلاپلو با گوشت,True,100.0,True,دوغ
باقلاپلو با گوشت+سالاد,باقلاپلو با گوشت,باقلاپلو با گوشت,True,100.0,True,سالاد
باقلاپلو با گوشت+سالاد شیرازی,باقلاپلو با گوشت,باقلاپلو با گوشت,True,100.0,True,سالاد شیرازی
باقلاپلو با گوشت+سالاد+میوه,باقلاپلو با گوشت,باقلاپلو با گوشت,True,100.0,True,سالاد|میوه
باقلاپلو با گوشت+ماست,باقلاپلو با گوشت,باقلاپلو با گوشت,True,100.0,True,ماست
باقلاپلو با گوشت+ماست موسیر,باقلاپلو با گوشت,باقلاپلو با گوشت,True,100.0,True,ماست موسیر
باقلاپلو با گوشت+ماست و خیار,باقلاپلو با گوشت,باقلاپلو با گوشت,True,100.0,True,ماست و خیار
باقلاپلو با گوشت+میوه,باقلاپلو با گوشت,باقلاپلو با گوشت,True,100.0,True,میوه
باقلاپلو با گوشت+میوه+ماست و خیار,باقلاپلو با گوشت,باقلاپلو با گوشت,True,100.0,True,میوه|ماست و خیار
خرید از بوفه روزانه,خرید از بوفه روزانه,خرید از بوفه روزانه,False,56.41,False,
خرید از بوفه هفتگی (5 روز),خرید از بوفه هفتگی,خرید از بوفه هفتگی,False,55.56,False,
خوراک آبگوشت,خوراک آبگوشت,خوراک آبگوشت,True,100.0,False,
خوراک آبگوشت+ترشی (60 گرم),خوراک آبگوشت,خوراک آبگوشت,True,100.0,True,ترشی (60 گرم)
خوراک آبگوشت+دوغ,خوراک آبگوشت,خوراک آبگوشت,True,100.0,True,دوغ
خوراک آبگوشت+دوغ+میوه+نان سنگک,خوراک آبگوشت,خوراک آبگوشت,True,100.0,True,دوغ|میوه|نان سنگک
خوراک آبگوشت+دوغ+نان بربری,خوراک آبگوشت,خوراک آبگوشت,True,100.0,True,دوغ|نان بربری
خوراک آبگوشت+دوغ+نان سنگک,خوراک آبگوشت,خوراک آبگوشت,True,100.0,True,دوغ|نان سنگک
خوراک آبگوشت+ماست,خوراک آبگوشت,خوراک آبگوشت,True,100.0,True,ماست
خوراک آبگوشت+ماست موسیر,خوراک آبگوشت,خوراک آبگوشت,True,100.0,True,ماست موسیر
خوراک آبگوشت+ماست موسیر+نان سنگک,خوراک آبگوشت,خوراک آبگوشت,True,100.0,True,ماست موسیر|نان سنگک
خوراک آبگوشت+ماست+نان سنگک,خوراک آبگوشت,خوراک آبگوشت,True,100.0,True,ماست|نان سنگک
خوراک آبگوشت+میوه+نوشیدنی,خوراک آبگوشت,خوراک آبگوشت,True,100.0,True,میوه|نوشیدنی
خوراک آبگوشت+نان سنگک+ترشی (60 گرم),خوراک آبگوشت,خوراک آبگوشت,True,100.0,True,نان سنگک|ترشی (60 گرم)
خوراک بادمجان(یتیمچه),خوراک بادمجان,خوراک بادمجان,True,100.0,False,
خوراک بادمجان(یتیمچه) + ماست,خوراک بادمجان,خوراک بادمجان,True,100.0,True,ماست
خوراک بادمجان(یتیمچه)+ میوه,خوراک بادمجان,خوراک بادمجان,True,100.0,True,میوه
خوراک بادمجان(یتیمچه)+ ژله تک نفره,خوراک بادمجان,خوراک بادمجان,True,100.0,True,ژله تک نفره
خوراک بادمجان(یتیمچه)+آش,خوراک بادمجان,خوراک بادمجان,True,100.0,True,آش
