raw_name,canonical_name,match_score,method
تست اپ,,,excluded
خوابگاه- فاطمیه -خواهران,فاطمیه,90.0,fuzzy_reviewed
خوابگاه-ساختمان 6-برادران,ساختمان 6,90.0,fuzzy_reviewed
خوابگاه-ساختمان 71و72-خواهران,ساختمان 71و72,90.0,fuzzy_reviewed
خوابگاه-چمران-خواهران,چمران,90.0,fuzzy_reviewed
خوابگاه-کوی -برادران,کوی,90.0,fuzzy_reviewed
دانشکده- علوم و فناوری های میان رشته ای,علوم و فناوری های میان رشته ای,95.0,fuzzy_reviewed
دانشکده-سلف اقتصاد,اقتصاد,90.0,fuzzy_reviewed
دانشکده-سلف الهیات و معارف اسلامی,الهیات و معارف اسلامی,90.0,fuzzy_reviewed
دانشکده-سلف بیوشیمی و بیوفیزیک,بیوشیمی و بیوفیزیک,90.0,fuzzy_reviewed
دانشکده-سلف تربیت بدنی,تربیت بدنی,90.0,fuzzy_reviewed
دانشکده-سلف دامپزشکی تهران,دامپزشکی تهران,90.0,fuzzy_reviewed
دانشکده-سلف روانشناسی و علوم تربیتی,روانشناسی و علوم تربیتی,90.0,fuzzy_reviewed
دانشکده-سلف زبانهای خارجه,زبانهای خارجه,90.0,fuzzy_reviewed
دانشکده-سلف علوم,علوم,90.0,fuzzy_reviewed
دانشکده-سلف علوم اجتماعی,علوم اجتماعی,,manual_override
دانشکده-سلف فنی1-16 آذر -برادران-کارکنان-برادران,فنی 16 آذر,85.5,fuzzy_reviewed_low_score
دانشکده-سلف فنی1-16 آذر(سلف مهمان-روزانه 50نفر),فنی 16 آذر,72.0,fuzzy_reviewed_low_score
دانشکده-سلف فنی1-16 آذر-خواهران-کارکنان-خواهران,فنی 16 آذر,72.0,fuzzy_reviewed_low_score
دانشکده-سلف فنی2-امیرآباد(سلف مهمان-روزانه 50نفر),فنی امیرآباد,75.0,fuzzy_reviewed_low_score
دانشکده-سلف فنی2-امیرآباد-برادران-کارکنان-برادران,فنی امیرآباد,75.0,fuzzy_reviewed_low_score
دانشکده-سلف فنی2-امیرآباد-خواهران-دکترا-برادران-کارکنان,فنی امیرآباد,75.0,fuzzy_reviewed_low_score
دانشکده-سلف فیزیک,فیزیک,90.0,fuzzy_reviewed
