city,province,date_gregorian,temp_max,temp_min,temp_mean,feels_like_max,feels_like_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_max,relative_humidity_mean,pm2_5_mean,pm2_5_max,pm10_mean,pm10_max,aqi_us_mean,aqi_us_max,date_jalali
تهران,تهران,2023-11-01,22.2,14.0,18.16,19.1,10.0,0.0,0.0,0.0,13.8,34.88,44.5,83.1,81.03,128.1,139.29,145,1402-08-10
تهران,تهران,2023-11-02,22.1,12.8,16.67,19.0,9.3,1.2,1.2,0.0,22.7,44.08,37.93,85.9,72.23,128.5,114.5,123,1402-08-11
تهران,تهران,2023-11-03,20.6,9.5,14.79,17.6,7.8,0.0,0.0,0.0,16.6,61.21,60.79,119.2,95.6,176.0,126.21,152,1402-08-12
تهران,تهران,2023-11-04,16.9,10.0,13.35,15.4,6.2,3.3,3.3,0.0,14.2,67.08,50.34,114.1,80.18,167.2,152.62,156,1402-08-13
تهران,تهران,2023-11-05,16.9,10.7,13.85,15.7,9.5,0.7,0.7,0.0,7.9,70.42,71.96,137.4,110.13,200.7,146.12,160,1402-08-14
تهران,تهران,2023-11-06,19.2,9.0,13.87,17.0,6.0,0.0,0.0,0.0,12.3,63.08,79.47,150.9,116.76,218.4,164.88,167,1402-08-15
تهران,تهران,2023-11-07,20.6,8.6,14.64,18.1,4.5,0.0,0.0,0.0,13.8,46.75,77.43,164.8,111.87,236.1,164.29,167,1402-08-16
تهران,تهران,2023-11-08,19.2,9.2,14.35,16.0,5.6,0.0,0.0,0.0,13.0,44.54,60.6,132.2,87.35,189.5,161.96,166,1402-08-17
تهران,تهران,2023-11-09,19.2,8.6,13.9,15.8,5.2,0.0,0.0,0.0,14.9,42.42,57.57,106.2,87.9,156.9,152.83,154,1402-08-18
تهران,تهران,2023-11-10,23.0,8.6,15.56,18.8,4.8,0.0,0.0,0.0,15.6,34.42,62.06,117.1,92.6,170.0,152.79,154,1402-08-19
تهران,تهران,2023-11-11,20.5,10.5,15.86,17.8,6.7,0.0,0.0,0.0,10.9,33.79,62.28,106.4,92.28,154.6,157.67,160,1402-08-20
تهران,تهران,2023-11-12,21.0,10.2,15.47,17.3,6.2,0.0,0.0,0.0,13.0,37.33,65.65,143.4,99.96,212.3,151.5,156,1402-08-21
تهران,تهران,2023-11-13,21.2,9.5,15.7,17.9,5.5,0.0,0.0,0.0,13.3,34.0,83.48,181.6,125.36,266.4,161.88,169,1402-08-22
تهران,تهران,2023-11-14,20.7,9.6,15.49,17.1,5.9,0.0,0.0,0.0,11.0,35.62,68.14,124.8,102.17,181.1,169.54,172,1402-08-23
تهران,تهران,2023-11-15,19.6,9.2,15.03,16.0,4.6,0.0,0.0,0.0,13.6,34.08,61.06,123.4,90.97,179.7,154.96,159,1402-08-24
تهران,تهران,2023-11-16,20.7,9.9,15.65,16.3,6.1,0.0,0.0,0.0,20.1,36.92,48.75,113.4,74.19,165.8,151.96,154,1402-08-25
تهران,تهران,2023-11-17,21.0,9.7,14.67,15.4,6.6,0.0,0.0,0.0,29.4,41.21,28.84,78.2,42.09,112.2,112.5,133,1402-08-26
تهران,تهران,2023-11-18,20.0,8.5,13.72,15.3,4.4,0.0,0.0,0.0,20.9,40.88,41.01,99.4,59.8,142.5,84.0,108,1402-08-27
تهران,تهران,2023-11-19,19.9,7.5,13.81,16.9,2.7,0.0,0.0,0.0,16.9,36.46,39.0,114.1,56.64,163.4,128.54,135,1402-08-28
تهران,تهران,2023-11-20,18.4,9.4,13.03,15.0,5.4,16.0,16.0,0.0,19.1,42.62,24.3,52.5,36.83,77.1,91.46,109,1402-08-29
تهران,تهران,2023-11-21,9.8,4.3,7.16,7.4,0.3,12.6,12.3,0.21,17.9,72.88,19.49,65.0,30.47,96.2,69.54,79,1402-08-30
تهران,تهران,2023-11-22,12.1,0.4,5.56,8.4,-4.1,0.0,0.0,0.0,15.0,49.54,43.78,115.5,63.43,164.8,84.54,116,1402-09-01
تهران,تهران,2023-11-23,12.0,2.2,6.84,8.8,-2.6,0.0,0.0,0.0,14.0,45.08,69.32,166.7,99.5,238.4,140.58,159,1402-09-02
تهران,تهران,2023-11-24,13.1,4.1,8.84,9.8,-0.1,0.0,0.0,0.0,10.7,40.83,89.85,194.2,129.35,279.4,166.42,174,1402-09-03
تهران,تهران,2023-11-25,14.0,2.5,7.84,11.0,-2.3,0.0,0.0,0.0,13.2,46.25,83.88,184.9,121.11,265.4,174.75,177,1402-09-04
تهران,تهران,2023-11-26,15.2,5.8,10.22,12.5,1.4,0.0,0.0,0.0,11.4,44.58,71.76,133.2,103.64,191.4,169.29,173,1402-09-05
تهران,تهران,2023-11-27,17.5,4.7,10.34,14.1,0.0,0.0,0.0,0.0,16.7,56.04,47.2,104.3,74.33,151.8,151.79,162,1402-09-06
تهران,تهران,2023-11-28,16.0,3.2,10.0,12.2,-2.0,1.3,1.3,0.0,21.3,59.33,36.45,72.9,58.91,112.5,120.88,130,1402-09-07
تهران,تهران,2023-11-29,14.2,2.5,8.29,10.9,-2.7,0.0,0.0,0.0,17.5,50.71,54.46,143.4,81.83,209.1,103.12,142,1402-09-08
تهران,تهران,2023-11-30,14.9,4.5,9.02,12.0,-0.3,0.0,0.0,0.0,14.8,48.25,66.1,147.6,99.81,214.7,154.71,158,1402-09-09
تهران,تهران,2023-12-01,14.9,5.8,9.85,12.3,1.7,0.0,0.0,0.0,11.2,40.5,71.97,147.6,105.48,215.1,158.58,161,1402-09-10
تهران,تهران,2023-12-02,15.1,3.6,9.14,11.9,-1.1,0.0,0.0,0.0,13.8,44.38,75.7,165.3,111.85,241.2,163.17,164,1402-09-11
تهران,تهران,2023-12-03,15.7,3.7,9.64,12.2,-1.1,0.0,0.0,0.0,11.6,35.58,81.93,172.8,119.99,250.5,166.75,169,1402-09-12
تهران,تهران,2023-12-04,15.5,5.5,9.88,12.1,1.2,0.0,0.0,0.0,10.1,33.29,74.64,158.8,108.24,230.0,166.83,169,1402-09-13
تهران,تهران,2023-12-05,15.0,4.7,9.68,11.1,0.0,0.0,0.0,0.0,11.2,27.17,58.29,127.1,83.41,181.6,158.92,164,1402-09-14
تهران,تهران,2023-12-06,14.8,4.2,9.89,10.4,-0.5,0.0,0.0,0.0,9.8,27.25,80.31,173.2,116.52,251.5,157.33,166,1402-09-15
تهران,تهران,2023-12-07,14.6,4.8,9.11,10.6,-0.1,0.5,0.5,0.0,14.0,29.67,68.21,113.2,105.15,163.0,171.12,175,1402-09-16
تهران,تهران,2023-12-08,17.0,4.5,10.22,12.7,-0.5,0.0,0.0,0.0,15.2,37.0,51.65,120.6,75.81,173.7,139.21,159,1402-09-17
تهران,تهران,2023-12-09,15.3,4.5,9.9,11.7,0.2,0.0,0.0,0.0,13.3,36.71,56.66,106.2,86.16,156.5,149.71,152,1402-09-18
تهران,تهران,2023-12-10,18.3,4.6,10.93,12.2,0.4,0.0,0.0,0.0,25.6,35.42,56.49,97.3,92.09,146.7,153.33,155,1402-09-19
تهران,تهران,2023-12-11,15.8,5.6,10.19,12.0,0.9,0.0,0.0,0.0,13.6,29.79,51.66,123.4,75.9,178.3,129.12,151,1402-09-20
تهران,تهران,2023-12-12,13.1,6.4,9.5,9.6,2.2,0.0,0.0,0.0,8.7,37.92,77.06,155.5,117.48,231.4,156.04,164,1402-09-21
تهران,تهران,2023-12-13,12.6,6.0,9.48,9.6,2.5,0.0,0.0,0.0,8.6,43.42,85.42,136.0,136.72,245.9,172.12,176,1402-09-22
تهران,تهران,2023-12-14,9.0,4.0,7.05,6.3,0.9,1.0,1.0,0.0,12.6,67.54,43.65,88.2,72.62,171.8,160.5,171,1402-09-23
تهران,تهران,2023-12-15,11.2,3.2,6.53,7.4,-0.4,0.0,0.0,0.0,14.6,57.21,40.95,84.3,60.4,120.1,96.88,120,1402-09-24
تهران,تهران,2023-12-16,11.9,2.0,6.58,8.5,-2.3,0.0,0.0,0.0,12.2,42.88,59.78,125.3,85.75,179.3,129.54,152,1402-09-25
تهران,تهران,2023-12-17,13.4,2.9,8.11,10.2,-1.4,0.0,0.0,0.0,11.0,44.67,76.43,141.1,109.6,202.1,159.25,165,1402-09-26
تهران,تهران,2023-12-18,11.5,4.1,7.65,7.8,0.3,0.0,0.0,0.0,14.1,46.21,64.49,115.0,92.87,164.8,163.88,168,1402-09-27
تهران,تهران,2023-12-19,10.5,2.1,6.22,7.7,-2.2,0.0,0.0,0.0,10.7,55.46,70.66,120.1,102.34,172.3,158.21,161,1402-09-28
تهران,تهران,2023-12-20,10.4,1.5,5.93,7.1,-2.6,0.0,0.0,0.0,8.4,54.42,65.57,123.4,96.14,177.9,160.08,161,1402-09-29
تهران,تهران,2023-12-21,10.8,2.5,5.85,7.0,-1.4,0.0,0.0,0.0,12.8,51.79,75.68,145.3,111.65,211.9,156.46,163,1402-09-30
تهران,تهران,2023-12-22,10.7,1.4,6.5,7.8,-3.4,0.4,0.4,0.0,13.3,48.96,73.28,123.9,110.81,186.7,165.54,167,1402-10-01
تهران,تهران,2023-12-23,12.0,3.7,7.98,8.8,-0.3,1.1,1.1,0.0,12.4,56.67,52.39,109.4,90.14,168.6,158.92,163,1402-10-02
تهران,تهران,2023-12-24,12.8,3.4,8.09,9.8,-0.8,0.2,0.2,0.0,17.2,58.12,26.3,52.9,42.32,75.9,110.0,142,1402-10-03
تهران,تهران,2023-12-25,13.0,4.7,9.02,7.8,0.8,2.1,2.1,0.0,26.2,55.38,24.31,55.2,35.78,78.9,73.92,83,1402-10-04
تهران,تهران,2023-12-26,14.3,2.5,7.25,9.3,-2.1,0.0,0.0,0.0,15.8,49.79,33.95,78.0,48.9,111.8,85.5,95,1402-10-05
تهران,تهران,2023-12-27,14.6,3.8,9.24,11.1,-0.8,0.0,0.0,0.0,11.8,40.58,45.59,89.9,65.61,129.0,109.92,124,1402-10-06
تهران,تهران,2023-12-28,12.0,3.8,7.78,9.1,-1.3,0.3,0.3,0.0,16.5,47.83,50.97,90.1,74.28,129.0,136.5,145,1402-10-07
تهران,تهران,2023-12-29,11.9,1.7,6.19,8.9,-2.5,0.0,0.0,0.0,16.3,54.42,54.12,120.6,77.89,173.2,129.96,143,1402-10-08
تهران,تهران,2023-12-30,11.6,2.0,6.65,8.6,-2.2,0.0,0.0,0.0,13.3,50.83,62.77,122.0,91.36,176.5,154.04,156,1402-10-09
تهران,تهران,2023-12-31,11.7,2.0,6.39,8.7,-2.2,0.0,0.0,0.0,11.8,53.92,72.76,140.2,107.14,203.5,158.38,162,1402-10-10
تهران,تهران,2024-01-01,12.5,2.7,6.94,9.8,-1.7,0.0,0.0,0.0,12.0,51.92,65.68,139.2,98.4,203.5,158.67,162,1402-10-11
تهران,تهران,2024-01-02,12.5,1.9,7.1,9.4,-2.5,0.0,0.0,0.0,14.4,50.12,66.96,121.5,103.36,183.0,160.46,162,1402-10-12
تهران,تهران,2024-01-03,12.2,3.4,7.76,8.4,-0.6,0.0,0.0,0.0,12.2,47.58,56.04,112.9,86.85,166.7,157.17,159,1402-10-13
تهران,تهران,2024-01-04,12.6,1.6,6.45,8.5,-3.1,0.0,0.0,0.0,15.1,43.92,47.57,112.0,68.69,160.2,123.12,150,1402-10-14
تهران,تهران,2024-01-05,13.4,2.1,7.26,9.4,-2.5,0.0,0.0,0.0,13.0,42.54,42.04,83.4,60.35,119.2,132.08,137,1402-10-15
تهران,تهران,2024-01-06,11.5,1.6,6.48,7.6,-2.2,0.0,0.0,0.0,16.1,51.67,24.28,57.2,35.6,82.7,104.67,116,1402-10-16
تهران,تهران,2024-01-07,10.0,-1.9,4.44,5.7,-7.8,0.0,0.0,0.0,17.1,33.67,49.34,130.9,71.06,188.1,82.88,128,1402-10-17
تهران,تهران,2024-01-08,11.5,0.4,5.98,7.5,-4.5,0.0,0.0,0.0,12.6,33.17,61.34,123.4,88.49,177.0,152.21,157,1402-10-18
تهران,تهران,2024-01-09,18.0,2.9,9.4,11.6,-2.2,0.0,0.0,0.0,20.6,24.58,48.68,121.1,70.09,173.2,144.17,154,1402-10-19
تهران,تهران,2024-01-10,15.2,3.8,9.19,11.2,-1.7,0.0,0.0,0.0,15.5,27.12,31.26,83.6,46.13,119.7,129.25,138,1402-10-20
تهران,تهران,2024-01-11,12.2,6.6,9.08,8.8,3.2,2.8,2.8,0.0,12.3,47.54,37.68,87.1,75.66,159.7,90.46,105,1402-10-21
تهران,تهران,2024-01-12,7.5,2.5,5.18,5.0,-1.4,7.0,7.0,0.0,12.5,77.96,30.64,81.3,49.42,118.7,101.08,110,1402-10-22
تهران,تهران,2024-01-13,10.8,1.6,6.1,8.1,-2.1,4.0,3.8,0.14,17.8,68.17,29.85,55.2,45.75,79.9,86.5,91,1402-10-23
تهران,تهران,2024-01-14,11.2,4.5,6.92,7.6,-0.0,4.1,4.1,0.0,18.4,67.29,33.93,55.2,54.25,88.5,96.38,99,1402-10-24
تهران,تهران,2024-01-15,12.5,2.6,6.94,10.4,-2.4,0.3,0.3,0.0,17.8,60.96,38.15,75.0,61.3,111.8,99.25,108,1402-10-25
تهران,تهران,2024-01-16,11.2,0.2,4.45,7.7,-5.2,0.0,0.0,0.0,16.1,41.96,47.99,117.6,71.37,168.6,109.04,128,1402-10-26
تهران,تهران,2024-01-17,10.7,0.1,4.77,7.2,-5.6,0.0,0.0,0.0,16.6,40.21,51.15,122.5,73.52,175.1,135.79,138,1402-10-27
تهران,تهران,2024-01-18,12.1,1.6,6.12,8.8,-3.8,0.0,0.0,0.0,15.6,45.5,76.68,162.5,111.53,236.1,152.38,163,1402-10-28
تهران,تهران,2024-01-19,12.2,0.9,5.74,9.1,-4.3,0.0,0.0,0.0,15.3,47.71,72.79,141.1,107.73,205.8,166.79,169,1402-10-29
تهران,تهران,2024-01-20,12.5,1.7,6.81,9.2,-3.7,0.0,0.0,0.0,15.5,42.58,86.18,182.5,128.2,268.2,164.04,171,1402-10-30
تهران,تهران,2024-01-21,13.8,2.3,7.06,10.3,-2.7,0.0,0.0,0.0,16.4,42.25,69.85,140.2,102.44,205.4,174.33,178,1402-11-01
تهران,تهران,2024-01-22,14.3,2.4,7.79,11.3,-2.7,0.0,0.0,0.0,16.5,41.54,54.01,127.1,79.82,184.4,143.12,160,1402-11-02
تهران,تهران,2024-01-23,10.7,3.3,7.28,7.7,0.1,7.7,7.7,0.0,12.0,66.58,64.28,121.1,124.67,232.8,155.38,160,1402-11-03
تهران,تهران,2024-01-24,10.8,2.2,6.45,7.2,-0.8,7.6,7.0,0.42,12.1,70.83,74.91,119.0,160.53,240.3,163.5,169,1402-11-04
تهران,تهران,2024-01-25,11.1,0.6,5.31,7.9,-4.1,1.8,1.7,0.07,13.6,64.88,26.49,47.1,43.74,71.5,122.38,164,1402-11-05
تهران,تهران,2024-01-26,10.4,-1.6,4.5,6.8,-7.4,0.0,0.0,0.0,19.2,62.33,34.58,70.1,54.97,107.1,88.21,97,1402-11-06
تهران,تهران,2024-01-27,7.6,3.0,4.62,4.5,-0.7,3.9,3.9,0.0,10.5,73.29,53.23,115.0,80.92,166.7,117.08,142,1402-11-07
تهران,تهران,2024-01-28,8.0,-1.5,2.98,3.0,-7.2,12.7,4.4,5.81,19.1,60.12,32.27,69.2,47.5,99.7,128.79,148,1402-11-08
تهران,تهران,2024-01-29,7.6,-2.2,1.81,4.1,-7.7,0.0,0.0,0.0,16.0,45.0,45.63,117.6,73.1,171.8,94.38,121,1402-11-09
تهران,تهران,2024-01-30,8.1,-1.2,2.96,5.1,-6.2,0.0,0.0,0.0,14.1,49.88,64.57,150.9,100.66,224.9,140.42,155,1402-11-10
تهران,تهران,2024-01-31,6.1,-0.3,2.57,2.4,-5.3,0.0,0.0,0.0,13.9,64.21,68.39,121.5,112.12,183.9,163.0,166,1402-11-11
تهران,تهران,2024-02-01,2.8,1.2,1.94,-0.2,-2.3,2.6,1.1,1.05,7.9,75.83,57.87,89.4,96.8,148.1,156.5,159,1402-11-12
تهران,تهران,2024-02-02,1.5,-1.5,0.28,-1.3,-5.2,10.4,1.6,6.16,13.7,91.04,46.75,66.8,84.07,123.9,148.54,152,1402-11-13
تهران,تهران,2024-02-03,6.3,-3.4,0.8,2.6,-7.9,0.0,0.0,0.0,13.5,53.79,37.46,72.2,59.78,110.8,104.5,128,1402-11-14
تهران,تهران,2024-02-04,6.3,-3.6,0.24,2.6,-8.8,0.0,0.0,0.0,15.3,48.42,50.71,87.1,81.65,133.2,120.71,136,1402-11-15
تهران,تهران,2024-02-05,8.2,-2.3,2.65,3.1,-7.8,0.0,0.0,0.0,24.1,55.62,49.7,91.3,73.73,131.3,140.75,148,1402-11-16
تهران,تهران,2024-02-06,9.6,0.7,5.0,4.1,-3.5,0.5,0.5,0.0,30.9,60.0,23.61,83.8,34.54,120.6,114.38,140,1402-11-17
تهران,تهران,2024-02-07,9.7,-1.0,3.59,6.3,-6.1,0.0,0.0,0.0,14.3,53.67,38.14,97.1,54.65,138.8,74.33,102,1402-11-18
تهران,تهران,2024-02-08,11.4,0.5,5.08,8.2,-4.7,0.0,0.0,0.0,15.8,43.5,51.42,116.6,73.7,166.7,126.79,140,1402-11-19
تهران,تهران,2024-02-09,12.8,1.5,6.22,9.8,-3.8,0.0,0.0,0.0,15.8,40.83,42.71,91.7,61.9,132.2,131.29,140,1402-11-20
تهران,تهران,2024-02-10,15.3,2.7,7.78,12.1,-2.7,0.0,0.0,0.0,16.8,35.83,49.3,123.9,71.91,179.3,119.0,131,1402-11-21
تهران,تهران,2024-02-11,15.9,3.4,8.73,12.9,-1.9,0.0,0.0,0.0,15.9,40.42,53.28,119.0,82.3,175.6,144.04,148,1402-11-22
تهران,تهران,2024-02-12,15.9,4.1,9.12,13.3,-0.9,0.0,0.0,0.0,15.9,41.08,56.6,119.7,89.37,180.2,146.25,150,1402-11-23
تهران,تهران,2024-02-13,17.5,4.6,10.32,14.4,-0.8,0.0,0.0,0.0,16.4,33.71,65.17,147.1,103.96,221.2,153.79,157,1402-11-24
تهران,تهران,2024-02-14,19.3,5.5,12.21,15.8,0.3,0.0,0.0,0.0,16.3,31.38,48.16,110.1,79.31,163.9,155.92,159,1402-11-25
تهران,تهران,2024-02-15,19.1,9.0,13.52,15.4,4.3,2.0,2.0,0.0,15.9,35.08,34.1,100.1,65.57,148.5,113.96,132,1402-11-26
تهران,تهران,2024-02-16,12.3,7.6,10.24,10.8,4.7,16.9,16.9,0.0,17.9,71.88,42.4,80.1,63.32,114.6,93.29,112,1402-11-27
تهران,تهران,2024-02-17,12.3,5.9,8.83,9.4,2.4,3.3,3.3,0.0,13.1,64.08,48.52,121.1,77.65,175.1,145.67,155,1402-11-28
تهران,تهران,2024-02-18,10.0,2.8,5.73,6.4,-0.9,0.3,0.3,0.0,10.8,65.42,22.57,57.7,32.79,82.7,86.21,133,1402-11-29
تهران,تهران,2024-02-19,7.7,2.1,4.58,4.7,-1.5,0.0,0.0,0.0,9.5,60.96,59.42,128.5,85.98,185.8,105.88,151,1402-11-30
تهران,تهران,2024-02-20,8.3,0.9,4.58,5.0,-3.7,0.2,0.2,0.0,13.4,62.33,66.84,125.7,99.83,184.4,157.46,159,1402-12-01
تهران,تهران,2024-02-21,10.3,-0.3,4.96,6.8,-5.2,0.0,0.0,0.0,15.0,56.25,67.65,147.1,101.78,216.1,156.17,158,1402-12-02
تهران,تهران,2024-02-22,10.8,1.7,5.4,7.8,-3.2,4.2,4.0,0.14,15.9,62.46,63.18,124.8,96.13,183.0,161.08,163,1402-12-03
تهران,تهران,2024-02-23,13.6,1.3,7.0,9.1,-3.6,0.0,0.0,0.0,16.0,50.83,57.47,119.0,86.7,172.8,151.29,155,1402-12-04
تهران,تهران,2024-02-24,11.6,3.2,7.27,9.1,-0.8,0.3,0.3,0.0,11.5,56.79,56.6,136.0,88.14,200.2,150.33,151,1402-12-05
تهران,تهران,2024-02-25,5.3,-0.1,1.62,2.1,-3.2,11.5,8.9,1.82,10.5,91.54,35.81,53.7,53.21,83.8,134.96,151,1402-12-06
تهران,تهران,2024-02-26,2.6,-2.1,0.19,-0.5,-5.5,1.3,0.0,0.91,12.0,77.42,28.5,56.7,40.94,81.3,90.96,101,1402-12-07
تهران,تهران,2024-02-27,3.7,-3.3,0.02,-0.1,-7.4,0.5,0.0,0.35,11.3,65.79,32.7,49.7,47.79,73.8,92.88,97,1402-12-08
تهران,تهران,2024-02-28,3.1,-1.2,0.37,-0.8,-4.6,2.6,0.0,1.89,9.1,70.29,39.66,56.1,59.65,86.6,107.5,115,1402-12-09
تهران,تهران,2024-02-29,4.0,-4.4,-0.52,0.8,-10.0,0.5,0.0,0.35,15.6,62.42,24.74,46.2,36.28,67.3,89.12,110,1402-12-10
تهران,تهران,2024-03-01,5.4,-5.3,-0.46,1.4,-10.9,0.0,0.0,0.0,14.8,42.92,48.2,115.3,70.44,167.6,93.38,124,1402-12-11
تهران,تهران,2024-03-02,7.6,-4.7,1.06,4.3,-10.4,0.0,0.0,0.0,14.8,47.08,63.29,112.0,91.92,162.5,151.46,156,1402-12-12
