model,tau,Cu_over_Co,waste_saved_toman,shortage_cost_toman,net_value_toman,shortage_portions,portions_saved_vs_B0
lightgbm_quantile,0.02,49.0,5485500000.0,1065750000.0,4419750000.0,58.0,14628.0
lightgbm_quantile,0.05,18.999999999999996,7153500000.0,1717125000.0,5436375000.0,241.0,19076.0
lightgbm_quantile,0.1,9.0,8099625000.0,2001375000.0,6098250000.0,593.0,21599.0
lightgbm_quantile,0.15,5.666666666666667,8660625000.0,2122875000.0,6537750000.0,999.0,23095.0
lightgbm_quantile,0.2,4.0,9127875000.0,2236500000.0,6891375000.0,1491.0,24341.0
lightgbm_quantile,0.25,3.0,9447000000.0,2107125000.0,7339875000.0,1873.0,25192.0
lightgbm_quantile,0.3,2.3333333333333335,9973125000.0,2699375000.0,7273750000.0,3085.0,26595.0
lightgbm_quantile,0.3333333333333333,2.0000000000000004,9922125000.0,2046000000.0000002,7876125000.0,2728.0,26459.0
B3,0.02,49.0,5332125000.0,1855875000.0,3476250000.0,101.0,14219.0
B3,0.05,18.999999999999996,6405375000.0,1688625000.0,4716750000.0,237.0,17081.0
B3,0.1,9.0,7469250000.0,1704375000.0,5764875000.0,505.0,19918.0
B3,0.15,5.666666666666667,8067375000.0,1610750000.0,6456625000.0,758.0,21513.0
B3,0.2,4.0,8520750000.0,1618500000.0,6902250000.0,1079.0,22722.0
B3,0.25,3.0,8921250000.0,1642500000.0,7278750000.0,1460.0,23790.0
B3,0.3,2.3333333333333335,9246750000.0,1662500000.0,7584250000.0,1900.0,24658.0
B3,0.3333333333333333,2.0000000000000004,9443250000.0,1668750000.0000002,7774500000.0,2225.0,25182.0
