cut,segment,n,pinball_model,pinball_B3,delta,champion_wins
ناهار در برابر شام,dinner,1176,0.011092721692092931,0.01231395799380866,-0.0012212363017157293,True
ناهار در برابر شام,lunch,2704,0.012548934548900407,0.013796065391717535,-0.0012471308428171277,True
تهران در برابر غیرتهران,False,948,0.008663008132048436,0.009197386877280772,-0.0005343787452323362,True
تهران در برابر غیرتهران,True,2932,0.013221291958030719,0.014688489993267745,-0.0014671980352370263,True
چارک Res,Q1 (کوچک),975,0.02214366775495031,0.02487645078552701,-0.0027327830305767,True
چارک Res,Q2,971,0.012397360481962591,0.013150364294205625,-0.0007530038122430336,True
چارک Res,Q3,967,0.008015081470215627,0.008904385802900157,-0.0008893043326845297,True
چارک Res,Q4 (بزرگ),967,0.005789930568115047,0.006361624718672441,-0.000571694150557394,True
سلف دانشکده‌ای در برابر خوابگاهی,0,2432,0.013203487838527142,0.014470163115134157,-0.0012666752766070152,True
سلف دانشکده‌ای در برابر خوابگاهی,1,1448,0.010266904217424015,0.011460178676738207,-0.001193274459314192,True
روز عادی در برابر پیش‌ازتعطیلی,0,3487,0.011870958415880642,0.013158948244604382,-0.0012879898287237405,True
روز عادی در برابر پیش‌ازتعطیلی,1,393,0.014206940798860535,0.015014053157729553,-0.0008071123588690183,True
روز عادی در برابر رمضان,0,3719,0.011566609625961045,0.012586736032752045,-0.0010201264067909999,True
روز عادی در برابر رمضان,1,161,0.024603344914154418,0.03090499449762949,-0.006301649583475073,True
روز عادی در برابر برف,0,3585,0.01206041704920175,0.013335910807019458,-0.001275493757817707,True
روز عادی در برابر برف,1,295,0.012680557995727848,0.013479780260198084,-0.0007992222644702361,True
