RestaurantName,n,pinball,shortage_rate,coverage,coverage_gap
ابوریحان,89,0.008232198173319012,0.1797752808988764,0.3595505617977528,0.1595505617977528
اقتصاد,39,0.010884579572276638,0.28205128205128205,0.41025641025641024,0.21025641025641023
الهیات و معارف اسلامی,40,0.008773293024652544,0.2,0.5,0.3
بیوشیمی و بیوفیزیک,37,0.01976384664140955,0.05405405405405406,0.32432432432432434,0.12432432432432433
تربیت بدنی,39,0.009834003080871083,0.28205128205128205,0.38461538461538464,0.18461538461538463
دامپزشکی تهران,40,0.018513563626802197,0.175,0.25,0.04999999999999999
روانشناسی و علوم تربیتی,40,0.009954368394439523,0.15,0.375,0.175
زبانهای خارجه,40,0.011420322315979467,0.225,0.3,0.09999999999999998
ساختمان 6,50,0.006757554434926919,0.28,0.4,0.2
ساختمان 71و72,50,0.009240148610102002,0.2,0.22,0.01999999999999999
سطح شهر,73,0.007595649221781799,0.2054794520547945,0.4520547945205479,0.2520547945205479
علوم,40,0.011686610329009568,0.375,0.375,0.175
علوم اجتماعی,40,0.013228922642464063,0.25,0.375,0.175
علوم و فناوری های میان رشته ای,38,0.023006939980395203,0.10526315789473684,0.2631578947368421,0.06315789473684208
فارابی,96,0.007358979901571607,0.13541666666666666,0.22916666666666666,0.029166666666666646
فاطمیه,92,0.008709822469330858,0.1956521739130435,0.2826086956521739,0.08260869565217388
فنی 16 آذر,40,0.007442266728288885,0.375,0.45,0.25
فنی امیرآباد,40,0.0057215683045859,0.4,0.425,0.22499999999999998
فومن,68,0.004236519348927342,0.11764705882352941,0.4117647058823529,0.2117647058823529
فیزیک,39,0.014192178370882292,0.15384615384615385,0.2564102564102564,0.056410256410256376
مدیریت,40,0.006016482664596678,0.15,0.275,0.07500000000000001
مطالعات جهان,32,0.0195024737470572,0.0,0.3125,0.11249999999999999
مهر,40,0.007996464796901673,0.3,0.35,0.14999999999999997
هنرهای زیبا,40,0.011406617636199986,0.3,0.325,0.125
چمران,52,0.010707293076861246,0.17307692307692307,0.17307692307692307,-0.02692307692307694
ژئوفیزیک,38,0.019688900129119117,0.07894736842105263,0.23684210526315788,0.03684210526315787
کارآفرینی,30,0.02779265431537788,0.0,0.23333333333333334,0.033333333333333326
کاسپین,63,0.004021756835552362,0.031746031746031744,0.31746031746031744,0.11746031746031743
کشاورزی,69,0.0058427349972000955,0.2898550724637681,0.37681159420289856,0.17681159420289855
کوی,92,0.006796424128821118,0.33695652173913043,0.40217391304347827,0.20217391304347826
