date_gregorian,RestaurantName,Meal,FoodType,dow_name,day_type,Res,Recv,rho,pred_q,cook_qty,shortfall,pinball
2024-05-14,علوم و فناوری های میان رشته ای,lunch,berenji,سه‌شنبه,عادی,85.0,22.0,0.7411764705882353,0.09448178901657583,77.0,0.0,0.12933893631433188
2024-05-15,کارآفرینی,lunch,berenji,چهارشنبه,عادی,7.0,3.0,0.5714285714285714,0.020843884722179223,7.0,0.0,0.11011693734127843
2024-05-14,علوم و فناوری های میان رشته ای,lunch,khorak,سه‌شنبه,عادی,70.0,26.0,0.6285714285714286,0.09132923716342882,64.0,0.0,0.10744843828159996
2024-05-08,علوم و فناوری های میان رشته ای,lunch,berenji,چهارشنبه,عادی,40.0,16.0,0.6,0.0915302411480246,37.0,0.0,0.10169395177039507
2024-05-08,مطالعات جهان,lunch,khorak,چهارشنبه,عادی,4.0,2.0,0.5,0.011752077003752286,4.0,0.0,0.09764958459924955
2024-04-23,دامپزشکی تهران,lunch,berenji,سه‌شنبه,امتحان,275.0,119.0,0.5672727272727273,0.0821701625221613,253.0,0.0,0.0970205129501132
2024-04-30,ژئوفیزیک,lunch,khorak,سه‌شنبه,عادی,12.0,6.0,0.5,0.03185009600903618,12.0,0.0,0.09362998079819276
2024-04-23,دامپزشکی تهران,lunch,khorak,سه‌شنبه,امتحان,91.0,41.0,0.5494505494505495,0.08428176720395508,84.0,0.0,0.09303375644931888
2024-05-19,ژئوفیزیک,lunch,khorak,یکشنبه,عادی,5.0,3.0,0.4,0.0,5.0,0.0,0.08000000000000002
2024-05-01,بیوشیمی و بیوفیزیک,lunch,khorak,چهارشنبه,عادی,5.0,3.0,0.4,0.0,5.0,0.0,0.08000000000000002
2024-05-08,علوم و فناوری های میان رشته ای,lunch,khorak,چهارشنبه,عادی,53.0,28.0,0.4716981132075472,0.09150985188008778,49.0,0.0,0.07603765226549189
2024-05-15,چمران,dinner,khorak,چهارشنبه,عادی,45.0,43.0,0.0444444444444444,0.12824145468075726,40.0,3.0,0.06703760818905029
2024-05-11,کارآفرینی,lunch,berenji,شنبه,عادی,11.0,11.0,0.0,0.08357728379595958,11.0,0.0,0.06686182703676767
2024-05-01,کارآفرینی,lunch,berenji,چهارشنبه,عادی,16.0,9.0,0.4375,0.10495898851651793,15.0,0.0,0.06650820229669642
2024-05-15,فاطمیه,dinner,khorak,چهارشنبه,عادی,49.0,49.0,0.0,0.07954400052429611,46.0,3.0,0.06363520041943689
2024-05-05,فیزیک,lunch,khorak,یکشنبه,عادی,15.0,15.0,0.0,0.07911157337285195,14.0,1.0,0.06328925869828156
2024-05-18,کارآفرینی,lunch,berenji,شنبه,عادی,6.0,4.0,0.3333333333333333,0.024562636065261857,6.0,0.0,0.06175413945361429
2024-05-08,ژئوفیزیک,lunch,berenji,چهارشنبه,عادی,14.0,14.0,0.0,0.07642842648726583,13.0,1.0,0.061142741189812666
2024-05-14,فاطمیه,dinner,khorak,سه‌شنبه,عادی,50.0,50.0,0.0,0.07629254660095483,47.0,3.0,0.06103403728076387
2024-05-07,زبانهای خارجه,lunch,khorak,سه‌شنبه,عادی,29.0,29.0,0.0,0.07586927842682796,27.0,2.0,0.06069542274146237
