date_gregorian,RestaurantName,Meal,FoodType,dow_name,day_type,Res,Recv,rho,pred_q,cook_qty,shortfall,pinball
2024-05-07,علوم,lunch,berenji,سه‌شنبه,عادی,850.0,798.0,0.0611764705882353,0.1007354537936996,765.0,33.0,0.03164718656437144
2024-05-14,مهر,lunch,khorak,سه‌شنبه,عادی,778.0,718.0,0.0771208226221079,0.11400590807579578,690.0,28.0,0.029508068362950304
2024-05-15,ساختمان 6,dinner,berenji,چهارشنبه,عادی,499.0,485.0,0.0280561122244488,0.0722535840867355,463.0,22.0,0.03535797748982936
2024-04-30,فنی امیرآباد,lunch,berenji,سه‌شنبه,عادی,1769.0,1689.0,0.045223289994347,0.057969365195776064,1667.0,22.0,0.010196860161143252
2024-05-05,علوم,lunch,berenji,یکشنبه,عادی,670.0,616.0,0.0805970149253731,0.11352931650182473,594.0,22.0,0.026345841261161296
2024-05-11,مهر,lunch,berenji,شنبه,عادی,548.0,512.0,0.0656934306569343,0.1043095283047292,491.0,21.0,0.030892878118235923
2024-05-15,کوی,dinner,berenji,چهارشنبه,عادی,855.0,811.0,0.0514619883040935,0.07636795331019137,790.0,21.0,0.0199247720048783
2024-05-05,هنرهای زیبا,lunch,berenji,یکشنبه,عادی,550.0,507.0,0.0781818181818181,0.11806701300865353,486.0,21.0,0.03190815586146835
2024-04-30,مهر,lunch,berenji,سه‌شنبه,عادی,1150.0,1043.0,0.0930434782608695,0.11177522813509233,1022.0,21.0,0.014985399899378261
2024-05-14,فنی 16 آذر,lunch,berenji,سه‌شنبه,عادی,466.0,435.0,0.0665236051502145,0.10853262747413082,416.0,19.0,0.033607217859133065
2024-05-19,هنرهای زیبا,lunch,berenji,یکشنبه,عادی,666.0,628.0,0.057057057057057,0.0863119562700443,609.0,19.0,0.023403919370389843
2024-05-11,فنی 16 آذر,lunch,berenji,شنبه,عادی,590.0,556.0,0.0576271186440678,0.08933366132272332,538.0,18.0,0.025365234142924416
2024-04-24,علوم,lunch,berenji,چهارشنبه,امتحان,738.0,665.0,0.0989159891598916,0.12375260530318369,647.0,18.0,0.019869292914633675
2024-04-29,فنی امیرآباد,lunch,berenji,دوشنبه,عادی,1183.0,1125.0,0.0490278951817413,0.06396756109895084,1108.0,17.0,0.011951732733767635
2024-05-18,کشاورزی,lunch,berenji,شنبه,عادی,846.0,823.0,0.0271867612293144,0.04787941620380563,806.0,17.0,0.016554123979592987
2024-05-14,کشاورزی,lunch,berenji,سه‌شنبه,عادی,1258.0,1212.0,0.0365659777424483,0.05018566114384797,1195.0,17.0,0.010895746721119738
2024-05-07,فنی 16 آذر,lunch,berenji,سه‌شنبه,عادی,1194.0,1101.0,0.0778894472361809,0.09138978370771032,1085.0,16.0,0.010800269177223543
2024-05-08,ساختمان 71و72,dinner,khorak,چهارشنبه,عادی,378.0,347.0,0.082010582010582,0.12413312863029155,332.0,15.0,0.03369803729576764
2024-04-30,هنرهای زیبا,lunch,berenji,سه‌شنبه,عادی,620.0,571.0,0.0790322580645161,0.1026075793958022,557.0,14.0,0.018860257065028887
2024-05-14,فنی 16 آذر,lunch,khorak,سه‌شنبه,عادی,805.0,739.0,0.0819875776397515,0.09970030564093424,725.0,14.0,0.014170182400946196
