frac,n_days,n_rows,pinball_train,pinball_test
0.1,12,745,0.006410382474965693,0.010500665189833171
0.2,23,1362,0.007057711524589454,0.011031505297236755
0.3,35,2117,0.00692826280033755,0.01117261420665327
0.4,47,2860,0.007459951712669079,0.0107354054388031
0.5,58,3422,0.007470412168974256,0.010391097740174103
0.6,70,4069,0.008055604663936636,0.010602318602006168
0.7,82,4738,0.008254282190240367,0.010304757439932243
0.8,94,5312,0.008864476876986195,0.010346959974632117
0.9,105,5432,0.009115971588447002,0.010955979138956863
1.0,117,6053,0.009021395621422588,0.010079262011384711
