,gain,split,gain_rank,split_rank,perm_importance_mean,perm_importance_std,perm_rank
RestaurantName,1564.9780209064484,294,1.0,1.0,0.002679479133715247,7.182570475700124e-05,1.0
dow_x_city,885.1121831536293,153,2.0,2.0,0.0012992819325347636,0.0001294867140267085,2.0
log_res,424.6580181121826,116,3.0,3.0,0.0007409373948811353,6.846687370513576e-05,3.0
log_daily_total_res,293.5322068333626,76,4.0,8.0,2.822645732839021e-05,3.872942129514983e-05,13.0
rho_cell_lag1,273.835212290287,84,5.0,5.5,0.00025446835833906317,6.969065198531954e-05,4.0
cell_shrunk_rate,193.56403762102127,16,6.0,26.5,3.4505051177852534e-06,1.2774734310180065e-05,23.0
day_shock_lag1,192.1525974869728,91,7.0,4.0,0.00011870840453410674,3.1471594487280174e-05,6.0
res_vs_history,187.55633383989334,84,8.0,5.5,0.00023509715872329327,2.9329255072425563e-05,5.0
day_shock_lag7,142.10216706991196,81,9.0,7.0,-7.059285455531268e-05,2.5597161865182478e-05,62.0
res_vs_dow_history,124.4335168004036,55,10.0,11.5,3.732918045089538e-05,1.531797632799402e-05,9.0
rho_cell_lag7,103.81827646493912,68,11.0,9.0,-4.991887364550612e-06,1.021743539075853e-05,52.0
week_of_semester,95.57123297452927,40,12.0,16.0,-4.640746925754779e-06,6.727554094977775e-06,51.0
rho_cell_lag2,95.37110823392868,55,13.0,11.5,3.40101832471542e-05,1.6987776830481152e-05,11.0
food_expanding_rate,93.43386352062225,58,14.0,10.0,1.8711102281777914e-07,4.551665172066623e-06,28.0
cell_dow_expanding_rate,91.00876939296722,36,15.0,18.0,7.834363622745786e-05,4.404387942096607e-05,7.0
day_shock_roll_mean_7,88.50414180755615,43,16.0,15.0,-2.6876629236884628e-05,1.0799533949954786e-05,60.0
temp_min,83.23365294933319,47,17.0,14.0,-7.359352481948328e-07,9.71957420490126e-07,48.0
rho_roll_mean_7,79.569404900074,24,18.0,25.0,1.1542739806904255e-05,5.303876760179917e-06,19.0
food_rate_minus_competitor,70.68079960346222,48,19.0,13.0,-8.994304310202748e-06,8.093843392890754e-06,58.0
days_to_exam_start,66.7695843577385,33,20.0,21.0,2.9742246674076267e-05,6.918776583871507e-06,12.0
day_shock_lag2,63.30731439590454,35,21.0,19.0,-3.173928622157342e-05,6.004542318653707e-06,61.0
rho_roll_std_7,58.86249315738678,38,22.0,17.0,-5.788802581437047e-06,4.543449725570503e-06,55.0
competitor_food_rate,53.5399249792099,34,23.0,20.0,7.100738643552388e-06,7.110672866508832e-06,22.0
days_to_next_holiday,44.809448063373566,25,24.0,23.5,2.272183571435868e-05,2.7102259961299326e-05,14.0
days_since_last_holiday,38.64078909158707,26,25.0,22.0,2.1223844281373014e-05,1.1486062272060357e-05,17.0
rho_cell_lag14,35.922920644283295,25,26.0,23.5,-4.163168166699226e-06,5.107616405096666e-06,50.0
day_of_month,26.273444831371307,16,27.0,26.5,-6.304623559746404e-06,8.41628361478573e-06,56.0
dow_x_type,21.971610963344574,9,28.0,32.0,3.579696502935773e-05,1.2092138702492441e-05,10.0
rho_roll_mean_14,21.336306869983673,15,29.0,28.0,8.103564189095545e-06,2.0920156211167638e-06,21.0
cell_dow_shrunk_rate,16.43972998857498,9,30.0,32.0,4.389511018828615e-05,1.2724640782441568e-05,8.0
city_x_meal,15.2271568775177,11,31.0,29.0,2.1622323862354778e-05,3.513105508863128e-06,16.0
cell_expanding_rate,14.064189910888672,9,32.0,32.0,1.5624478221959101e-06,3.4692001690575985e-06,25.0
FoodType,13.60070013999939,8,33.0,34.0,-8.894372415567744e-07,1.3364927489031758e-05,49.0
rho_roll_mean_28,13.302187979221344,10,34.0,30.0,-5.304707095801602e-06,5.105429112290699e-06,53.0
dow_cos1,12.235270142555237,5,35.0,36.0,-1.372568954938029e-05,7.991274148140524e-06,59.0
dow_sin3,11.792809963226318,4,36.0,39.5,2.196727654424982e-05,1.0135090650248647e-05,15.0
is_exam_period,10.54675018787384,4,37.0,39.5,-5.417030702331398e-06,4.271394981563772e-06,54.0
food_shrunk_rate,7.5940088629722595,5,38.0,36.0,2.8683253129137275e-06,8.90605992208044e-07,24.0
rho_cell_lag28,6.5095590353012085,5,39.0,36.0,-6.148821614249817e-08,1.9585220582981176e-06,46.0
dow_cos3,6.1803008913993835,4,40.0,39.5,1.3146325769637993e-05,4.051009308786962e-06,18.0
dow_cos2,5.482862889766693,4,41.0,39.5,-7.051621175673331e-06,1.45761113241396e-06,57.0
is_bridge_day,4.780890107154846,3,42.0,42.5,0.0,0.0,36.5
precip_type,4.497179985046387,3,43.0,42.5,-4.2380687754958736e-07,2.525768857697907e-06,47.0
dow,4.398559927940369,2,44.0,45.0,7.246489858997799e-07,1.324848338688538e-06,27.0
is_day_after_holiday,3.412209987640381,2,45.0,45.0,1.0586392587035206e-05,2.0542590038031207e-06,20.0
RestaurantType,3.317669987678528,2,46.0,45.0,0.0,0.0,36.5
dow_sin2,1.748460054397583,1,47.0,48.0,1.0173734058304199e-06,2.341933583978818e-06,26.0
dow_sin1,1.3591899871826172,1,48.0,48.0,-3.78429276283454e-08,3.7017550764401805e-07,45.0
jmonth,1.262660026550293,1,49.0,48.0,0.0,0.0,36.5
city,0.0,0,56.0,56.0,0.0,0.0,36.5
Meal,0.0,0,56.0,56.0,0.0,0.0,36.5
is_snow_day,0.0,0,56.0,56.0,0.0,0.0,36.5
is_final_exam_period,0.0,0,56.0,56.0,0.0,0.0,36.5
is_holiday_any,0.0,0,56.0,56.0,0.0,0.0,36.5
