,mean_abs_shap
RestaurantName,0.012057578439731648
dow_x_city,0.00787578990392638
log_res,0.004459044210395396
rho_cell_lag1,0.004433169250277327
day_shock_lag1,0.003436715541908634
cell_dow_expanding_rate,0.0024901210768209633
log_daily_total_res,0.002062010524653271
res_vs_history,0.0017270387124319073
day_shock_lag7,0.0014136569438404699
days_to_next_holiday,0.0009751345615475904
cell_shrunk_rate,0.0009409869030483008
dow_x_type,0.0007833816164084037
rho_cell_lag2,0.0007518420028827281
temp_min,0.000623595391204027
days_to_exam_start,0.0006160718358704058
cell_dow_shrunk_rate,0.0005880572409729334
day_shock_roll_mean_7,0.0005214484921032915
rho_cell_lag7,0.0004979987833528487
dow_sin3,0.0004866635402381724
dow_cos1,0.0004805754908059335
days_since_last_holiday,0.00047653597815123605
res_vs_dow_history,0.0004382178186938794
FoodType,0.0004332855186295715
week_of_semester,0.0004197611816626623
day_of_month,0.00037290140520641126
rho_roll_mean_7,0.00036650291415233065
day_shock_lag2,0.00033663699791013535
rho_roll_std_7,0.0003124413029791828
food_rate_minus_competitor,0.00031059600716720575
food_expanding_rate,0.00027943700120782166
rho_roll_mean_28,0.00024141920105954836
is_exam_period,0.00019967989862543404
city_x_meal,0.00018317612174752147
competitor_food_rate,0.00017571772150300056
rho_cell_lag14,0.00016472045217197104
rho_roll_mean_14,0.00015503821647514318
cell_expanding_rate,0.0001214164179707219
dow_cos3,0.00011831739351183248
is_bridge_day,0.0001049148668502382
precip_type,8.728817696716943e-05
dow,6.688026218776896e-05
rho_cell_lag28,5.956948471361048e-05
food_shrunk_rate,5.2248523386707386e-05
dow_cos2,4.025625742504357e-05
is_day_after_holiday,3.8353677800907655e-05
dow_sin2,3.4004198102029486e-05
jmonth,1.3046622485436713e-05
RestaurantType,1.249659458966666e-05
dow_sin1,9.483958849354129e-06
city,0.0
Meal,0.0
is_snow_day,0.0
is_final_exam_period,0.0
is_holiday_any,0.0
holiday_block_length,0.0
is_lunch,0.0
is_new_food,0.0
is_ramadan,0.0
is_khabgah,0.0
is_day_before_holiday,0.0
pre_holiday_x_block_len,0.0
meal_x_type,0.0
