level,mean_prediction,n_observed
مهر,0.0889469742920406,40
علوم,0.0824074852484651,40
فنی 16 آذر,0.08231262359059004,40
هنرهای زیبا,0.08143751153786942,40
علوم اجتماعی,0.0790764108835765,40
دامپزشکی تهران,0.0743897656222085,40
فیزیک,0.0731045621906637,39
ساختمان 71و72,0.07192129452742127,50
علوم و فناوری های میان رشته ای,0.06818828562898216,38
اقتصاد,0.06812841787595403,39
زبانهای خارجه,0.06530874131452531,40
کارآفرینی,0.06500459659322314,30
چمران,0.0649727642444794,52
کوی,0.06493233924486541,92
مدیریت,0.06291514593619496,40
فنی امیرآباد,0.06154470011925689,40
تربیت بدنی,0.06062969800340793,39
فاطمیه,0.06047872726366824,92
کشاورزی,0.05914648442363653,69
الهیات و معارف اسلامی,0.05843747801123538,40
بیوشیمی و بیوفیزیک,0.05330736008670316,37
ساختمان 6,0.05191208134792932,50
فارابی,0.05165017447781384,96
ژئوفیزیک,0.05110772814665375,38
مطالعات جهان,0.05042015135821391,32
روانشناسی و علوم تربیتی,0.05030448510802103,40
فومن,0.04195672293558998,68
کاسپین,0.04178749389326585,63
ابوریحان,0.03990229877700189,89
سطح شهر,0.036153864693150524,73
