level,mean_prediction,n_observed
4|تهران,0.07535873028448069,206
3|تهران,0.06810272886238698,275
4|قم,0.06702879651097468,16
4|کرج,0.06606295416482943,16
3|قم,0.06605389162705945,20
6|تهران,0.06584455442769278,0
5|کرج,0.06562850469111671,4
2|تهران,0.06431078574060504,218
3|کرج,0.0637335468863576,11
2|کرج,0.06251281231200188,13
6|کرج,0.06082101519103209,0
6|پاکدشت,0.06082101519103209,0
6|رضوانشهر,0.06082101519103209,0
6|فومن,0.06082101519103209,0
5|تهران,0.06045597919587207,53
5|فومن,0.05978976051531953,8
0|کرج,0.05890904577638219,12
3|پاکدشت,0.05810189779757427,20
2|قم,0.05723049612410201,16
5|قم,0.05713374918100269,16
1|تهران,0.05661492405960624,216
0|قم,0.05658000564870325,12
4|پاکدشت,0.05656694089924083,16
6|قم,0.05554410376953197,0
2|پاکدشت,0.05544602232949407,16
1|کرج,0.05541264965823038,13
0|تهران,0.054814323277546886,173
5|رضوانشهر,0.051546020232164265,4
1|قم,0.046589780452434865,16
0|پاکدشت,0.044059315610410016,13
1|فومن,0.04355891918915375,12
3|فومن,0.04303386357030033,15
3|رضوانشهر,0.04272728880592278,15
1|پاکدشت,0.04250108100496277,16
4|فومن,0.041801772778051874,12
5|پاکدشت,0.04140516375518815,8
1|رضوانشهر,0.041391151210747525,10
4|رضوانشهر,0.04122042340942673,12
0|رضوانشهر,0.0408094633814312,10
0|فومن,0.0405779181785059,9
2|رضوانشهر,0.0396181480358225,12
2|فومن,0.03930755058899062,12
