,mean_abs_shap
person_shrunk_norecv_rate,0.4389033744117369
person_ewm_norecv_rate,0.17176497126048987
person_n_prior_reservations,0.15843076275087628
person_reservations_per_week,0.09449800027372597
person_restaurant_share,0.08621231470147954
person_expanding_norecv_rate,0.06435721104058136
Meal,0.047417620644747645
person_meal_share,0.044950309979054005
college_freq,0.04425075801089259
person_dow_share,0.03988186098420581
is_tehran,0.025301416488309716
is_female,0.021652823908861835
person_n_prior_norecv,0.01934580676366153
field_freq,0.011846873201476099
is_dorm_resident,0.007338400622611928
is_grad,0.005959090214346066
is_evening_session,0.002967875248339527
is_cold_start,0.0
is_honeymoon,0.0
